Grund,Quelle,Validierung,Seiten
Seite mit Weiterleitung,Website,Nicht gestartet,3
Nicht gefunden (404),Website,Nicht gestartet,1
Gefunden – zurzeit nicht indexiert,Google-Systeme,Nicht gestartet,43
Gecrawlt – zurzeit nicht indexiert,Google-Systeme,Nicht gestartet,25
"Durch ""noindex""-Tag ausgeschlossen",Website,Nicht zutreffend,0
